blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""490451307072""","""Salt Lake City, UT""",1.00,3376.00,932.00,45060.93,52,64,60,28,35,33,24,29,27,10.30,0.21,2.53,2,2,28688,28491,27404,0,0,0,21894,20765,19989,16230,15143,14582,5659,5618,5404,4,4,3,10,11,8,0.2,0.6,0.02,2667,92,2135,46,474,2097,2120,692,98,2
"""490451307081""","""Salt Lake City, UT""",1.00,2655.00,657.00,1934.78,49,60,57,27,33,32,23,27,25,10.31,3.50,2.39,2,2,27094,26897,25811,0,0,0,20694,19608,18831,15340,14294,13734,5345,5304,5090,9,9,7,9,9,7,1.7,1.2,0.34,2453,100,2114,44,52,1994,1994,,100,0
"""490451307082""","""Salt Lake City, UT""",1.00,1093.00,230.00,101011.53,47,58,54,23,29,28,25,29,27,11.25,0.03,2.55,2,2,29272,29075,27989,0,0,0,22159,21024,20247,16377,15283,14722,5775,5734,5519,7,7,6,6,7,5,0.0,0.8,0.00,1007,100,2444,45,1295,1725,2122,,81,19
"""490451307083""","""Salt Lake City, UT""",1.00,3198.00,1027.00,34097.87,43,53,50,21,26,25,22,26,24,9.01,0.27,2.34,2,2,25768,25571,24484,0,0,0,20089,19019,18242,14996,13966,13406,5083,5042,4828,10,10,8,9,9,7,1.4,1.4,0.03,1974,60,2517,43,359,1584,1664,1169,84,16
"""490451308001""","""Salt Lake City, UT""",1.00,1272.00,316.00,1299.33,44,54,50,23,28,27,21,25,23,,,2.21,2,2,25838,25641,24555,0,0,0,19270,18239,17461,14163,13172,12611,5097,5056,4842,10,10,8,9,9,7,2.8,0.9,0.24,1964,57,2261,45,108,1704,2107,884,67,33
"""490451308002""","""Salt Lake City, UT""",1.00,2801.00,809.00,2753.49,41,50,47,19,24,23,22,26,24,9.12,2.68,2.26,2,2,26202,26005,24919,0,0,0,19708,18659,17883,14530,13522,12961,5169,5128,4914,9,9,7,9,9,7,2.4,0.9,0.29,2103,81,2045,45,59,1450,1578,1051,76,24
"""490451308003""","""Salt Lake City, UT""",1.00,860.00,271.00,1142.06,44,54,51,22,28,27,22,26,24,9.27,2.20,2.28,2,2,26179,25982,24896,0,0,0,19793,18740,17963,14618,13606,13045,5165,5124,4909,10,10,8,9,10,8,2.5,1.0,0.24,2517,75,2169,44,71,1673,2042,,82,18
"""490451308004""","""Salt Lake City, UT""",1.00,1888.00,495.00,1285.27,40,49,46,19,23,22,22,26,24,8.66,3.34,2.26,2,2,26272,26075,24989,0,0,0,19683,18636,17859,14491,13485,12924,5183,5142,4928,9,9,7,8,9,7,2.3,0.9,0.39,1855,80,2032,45,71,1392,1546,955,74,26
"""490451309001""","""Salt Lake City, UT""",1.00,1703.00,564.00,384.59,37,45,42,17,21,20,20,23,22,7.14,10.47,2.11,2,2,22010,21813,20727,1,1,1,17942,16939,16159,13577,12614,12053,4342,4301,4087,23,23,19,21,22,17,4.5,2.5,1.47,6543,69,5875,43,20,1272,1342,1042,77,23
"""490451309002""","""Salt Lake City, UT""",1.00,807.00,301.00,155.43,32,39,37,16,20,19,16,19,18,5.96,11.55,1.72,2,2,18844,18647,17560,1,1,1,14830,13945,13161,11073,10227,9666,3717,3677,3463,39,41,32,37,38,30,8.2,2.8,1.94,8587,12,7556,43,7,1200,1196,1201,26,74
