place_name,year,place_medinc,medinc_source
Ephraim,2024,66541.0,acs_place
Erda,2019,110365.0,acs_place
Erda,2020,129028.0,acs_place
Erda,2021,135932.0,acs_place
Erda,2022,143125.0,acs_place
Erda,2023,153068.0,acs_place
Erda,2024,148676.0,acs_place
Escalante,2019,39120.0,acs_place
Escalante,2020,39508.0,acs_place
Escalante,2021,39808.0,acs_place
Escalante,2022,41938.0,acs_place
Escalante,2023,44048.0,acs_place
Escalante,2024,68750.0,acs_place
Eureka,2019,56094.0,acs_place
Eureka,2020,58750.0,acs_place
Eureka,2021,61202.0,acs_place
Eureka,2022,67813.0,acs_place
Eureka,2023,70938.0,acs_place
Eureka,2024,74028.0,acs_place
Fairfield,2019,72500.0,acs_place
Fairfield,2020,81667.0,acs_place
Fairfield,2021,91250.0,acs_place
Fairfield,2022,117500.0,acs_place
Fairfield,2023,122500.0,acs_place
Fairfield,2024,103750.0,acs_place
Fairview,2019,51750.0,acs_place
Fairview,2020,57266.0,acs_place
Fairview,2021,57768.0,acs_place
Fairview,2022,57391.0,acs_place
Fairview,2023,59750.0,acs_place
Fairview,2024,66442.0,acs_place
Farmington,2019,106488.0,acs_place
Farmington,2020,99208.0,acs_place
Farmington,2021,107559.0,acs_place
Farmington,2022,115278.0,acs_place
Farmington,2023,120432.0,acs_place
Farmington,2024,127338.0,acs_place
Farr West,2019,90917.0,acs_place
Farr West,2020,90439.0,acs_place
Farr West,2021,98088.0,acs_place
Farr West,2022,108862.0,acs_place
Farr West,2023,111875.0,acs_place
Farr West,2024,127574.0,acs_place
Fayette,2019,72500.0,acs_place
Fayette,2020,63462.0,acs_place
Fayette,2021,65781.0,acs_place
Fayette,2022,73438.0,acs_place
Fayette,2023,67917.0,acs_place
Fayette,2024,75833.0,acs_place
Ferron,2019,57313.0,acs_place
Ferron,2020,65329.0,acs_place
Ferron,2021,64236.0,acs_place
Ferron,2022,65913.0,acs_place
Ferron,2023,68324.0,acs_place
Ferron,2024,70947.0,acs_place
Fielding,2019,64375.0,acs_place
Fielding,2020,55000.0,acs_place
Fielding,2021,65833.0,acs_place
Fielding,2022,75000.0,acs_place
Fielding,2023,75000.0,acs_place
Fielding,2024,81250.0,acs_place
Fillmore,2019,57593.0,acs_place
Fillmore,2020,61375.0,acs_place
Fillmore,2021,70669.0,acs_place
Fillmore,2022,71250.0,acs_place
Fillmore,2023,77000.0,acs_place
Fillmore,2024,66442.0,acs_place
Flaming Gorge,2019,75417.0,acs_place
Flaming Gorge,2020,76250.0,acs_place
Flaming Gorge,2021,56042.0,interpolated
Flaming Gorge,2022,35833.0,acs_place
Flaming Gorge,2023,36964.0,acs_place
Flaming Gorge,2024,37250.0,acs_place
Fort Duchesne,2019,37143.0,acs_place
Fort Duchesne,2020,24821.0,acs_place
Fort Duchesne,2021,32917.0,acs_place
Fort Duchesne,2022,40417.0,acs_place
Fort Duchesne,2023,40052.0,acs_place
Fort Duchesne,2024,42596.0,acs_place
Fountain Green,2019,54444.0,acs_place
Fountain Green,2020,58311.0,acs_place
Fountain Green,2021,63125.0,acs_place
Fountain Green,2022,68583.0,acs_place
Fountain Green,2023,70402.0,acs_place
Fountain Green,2024,73017.0,acs_place
Francis,2019,83750.0,acs_place
Francis,2020,86012.0,acs_place
Francis,2021,97708.0,acs_place
Francis,2022,104013.0,acs_place
Francis,2023,113500.0,acs_place
Francis,2024,117054.0,acs_place
Fremont,2019,335169.0,extrapolated
Fremont,2020,282033.0,extrapolated
Fremont,2021,228897.0,extrapolated
Fremont,2022,175761.0,extrapolated
Fremont,2023,122625.0,acs_place
Fremont,2024,69489.0,acs_place
Fruit Heights,2019,97488.0,acs_place
Fruit Heights,2020,98438.0,acs_place
Fruit Heights,2021,104593.0,acs_place
Fruit Heights,2022,117123.0,acs_place
Fruit Heights,2023,134500.0,acs_place
Fruit Heights,2024,140679.0,acs_place
Garden,2019,43967.0,acs_place
Garden,2020,45556.0,acs_place
Garden,2021,46029.0,acs_place
Garden,2022,47246.0,extrapolated
Garden,2023,48277.0,extrapolated
Garden,2024,49308.0,extrapolated
Garden City,2019,53571.0,acs_place
Garden City,2020,60644.0,acs_place
Garden City,2021,57679.0,acs_place
Garden City,2022,63125.0,acs_place
Garden City,2023,62750.0,acs_place
Garden City,2024,51875.0,acs_place
Garland,2019,54087.0,acs_place
Garland,2020,48844.0,acs_place
Garland,2021,50762.0,acs_place
Garland,2022,56332.0,acs_place
Garland,2023,65369.0,acs_place
Garland,2024,74375.0,acs_place
Genola,2019,82917.0,acs_place
Genola,2020,96786.0,acs_place
Genola,2021,102917.0,acs_place
Genola,2022,126500.0,acs_place
Genola,2023,137661.0,acs_place
Genola,2024,126667.0,acs_place
Glendale,2019,55208.0,acs_place
Glendale,2020,54500.0,acs_place
Glendale,2021,56607.0,acs_place
Glendale,2022,61563.0,acs_place
Glendale,2023,63056.0,acs_place
Glendale,2024,50625.0,acs_place
Glenwood,2019,76302.0,acs_place
Glenwood,2020,93571.0,acs_place
Glenwood,2021,95625.0,acs_place
Glenwood,2022,87500.0,acs_place
Glenwood,2023,83333.0,acs_place
Glenwood,2024,83875.0,acs_place
Goshen,2019,62679.0,acs_place
Goshen,2020,81118.0,acs_place
Goshen,2021,85417.0,acs_place
Goshen,2022,92232.0,acs_place
Goshen,2023,93529.0,acs_place
Goshen,2024,95147.0,acs_place
Granite,2019,102250.0,acs_place
Granite,2020,100380.0,acs_place
Granite,2021,107120.0,acs_place
Granite,2022,115417.0,acs_place
Granite,2023,99375.0,acs_place
Granite,2024,85417.0,acs_place
Grantsville,2019,72378.0,acs_place
Grantsville,2020,76771.0,acs_place
Grantsville,2021,84923.0,acs_place
Grantsville,2022,94260.0,acs_place
Grantsville,2023,97216.0,acs_place
Grantsville,2024,101349.0,acs_place
Green River,2019,53281.0,acs_place
Green River,2020,42361.0,acs_place
Green River,2021,39868.0,acs_place
Green River,2022,43190.0,acs_place
Green River,2023,45781.0,acs_place
Green River,2024,65129.0,acs_place
Gunnison,2019,63816.0,acs_place
Gunnison,2020,66786.0,acs_place
Gunnison,2021,73625.0,acs_place
Gunnison,2022,64514.0,acs_place
Gunnison,2023,66111.0,acs_place
Gunnison,2024,70833.0,acs_place
Halchita,2019,27500.0,acs_place
Halchita,2020,17188.0,acs_place
Halchita,2021,21667.0,interpolated
Halchita,2022,26146.0,interpolated
Halchita,2023,30625.0,acs_place
Halchita,2024,30553.0,extrapolated
Halls Crossing,2019,,acs_place
Halls Crossing,2020,,acs_place
Halls Crossing,2021,,acs_place
Halls Crossing,2022,,acs_place
Halls Crossing,2023,,acs_place
Halls Crossing,2024,,acs_place
Hanksville,2019,39286.0,acs_place
Hanksville,2020,40250.0,acs_place
Hanksville,2021,34063.0,acs_place
Hanksville,2022,45714.0,acs_place
Hanksville,2023,37614.0,acs_place
Hanksville,2024,38274.0,acs_place
Harrisville,2019,74342.0,acs_place
Harrisville,2020,80250.0,acs_place
Harrisville,2021,77426.0,acs_place
Harrisville,2022,82232.0,acs_place
Harrisville,2023,75981.0,acs_place
