blkgrp2,blkgrp,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
4.90351E+11,"""490351138021""","""Salt Lake City, UT""",1,1451,414,119.84,37,44,42,17,21,20,20,23,22,7.54,26.06,1.91,2,2,18003,17700,17128,4,4,4,14999,13956,13656,12001,11003,10801,2884,2834,2743,114,119,113,227,238,226,6.3,5.7,5.77,3.45,25265,76,24311,80,6,256,715,1038,1145,812,70,30
4.90351E+11,"""490351146001""","""Salt Lake City, UT""",1,1839,576,1162.51,52,63,60,28,35,33,24,29,27,10.16,5.03,2.27,2,2,23990,23978,23271,3,3,3,18160,17107,16783,14235,13189,12982,3843,3839,3726,83,79,75,165,158,150,1.8,5.3,1.12,0.5,13227,94,29969,80,51,53,1685,1739,1808,,96,4
4.90351E+11,"""490351135231""","""Salt Lake City, UT""",1,1189,473,238.48,41,49,46,19,23,22,22,26,24,7.72,15.31,2.12,2,2,19416,19274,18635,3,3,3,16483,15379,15019,13275,12193,11939,3110,3086,2984,98,100,96,196,201,192,3.4,6.3,3.68,1.98,27332,100,28984,79,13,129,973,1157,1186,918,90,10
4.90351E+11,"""490351135131""","""Salt Lake City, UT""",1,1340,486,166.39,42,51,48,22,27,26,21,24,22,6.67,19.49,2.03,2,2,16671,16461,15826,4,4,4,15502,14384,14020,12711,11624,11366,2670,2636,2534,121,125,120,242,250,240,4,6.7,3.06,2.92,28136,100,42558,79,10,165,862,1351,1466,,92,8
4.90351E+11,"""490351135051""","""Salt Lake City, UT""",1,1316,365,138.38,42,51,48,21,26,25,21,25,23,8.08,21.32,2.04,2,2,18533,18305,17742,3,4,3,15874,14821,14528,12804,11786,11588,2969,2931,2841,101,104,99,202,208,198,3.9,6,5.3,2.64,25782,78,28946,80,23,162,1219,1294,1379,1137,65,35
4.90351E+11,"""490351134063""","""Salt Lake City, UT""",1,1543,409,161.15,44,54,51,21,26,25,23,27,26,9.11,23.12,2.25,2,2,20647,20374,19827,3,3,3,17511,16427,16110,14124,13084,12859,3307,3262,3175,80,80,77,160,161,154,3.9,5.3,3.07,2.54,20214,100,31934,80,9,190,769,1307,1410,,93,7
4.90351E+11,"""490351134093""","""Salt Lake City, UT""",1,1700,504,169.42,45,55,52,21,27,25,24,28,26,10,29.75,2.25,2,2,23265,22686,22142,1,1,1,17871,16846,16528,14111,13181,12953,3727,3632,3545,33,33,30,67,67,59,3.7,3.9,3.28,2.97,17328,100,19640,82,11,215,969,1325,1327,1315,82,18
4.90351E+11,"""490351135202""","""Salt Lake City, UT""",1,2445,617,160.3,49,59,56,25,31,29,24,29,27,9.21,35.44,2.35,2,2,20692,20462,20007,5,5,5,18241,17199,16895,14773,13775,13548,3314,3276,3203,153,148,144,306,296,288,4.3,6.2,4.1,3.85,27922,97,42116,79,9,224,894,1534,1515,1703,90,10
4.90351E+11,"""490351135144""","""Salt Lake City, UT""",1,1736,688,75.31,33,40,38,18,23,22,15,17,16,4.41,40.25,1.4,1,1,11813,11585,11208,8,9,8,10955,10165,10000,8816,8053,7962,1892,1855,1795,246,257,244,493,514,488,8.8,8.7,35.98,9.14,30193,22,63846,75,4,359,572,1152,1699,1033,18,82
4.90351E+11,"""490351135141""","""Salt Lake City, UT""",1,1146,488,149.38,34,41,38,18,22,21,16,19,17,5.26,17.18,1.53,1,1,13838,13551,13081,5,5,5,11951,11105,10975,9594,8785,8738,2216,2170,2094,141,151,143,282,301,286,8.7,7.4,6.54,3.27,29423,5,48937,78,21,137,1013,1097,1435,1053,19,81
